Land(Ha),Water(m3),Dolomite,Urea,Bunch_Ash,Rock_Phospate,Borate,Paraquat,Glyphosate,FFB (Ton),Waterfor_boiler(m3),Transport,Genset,Electricity (kWh),CPO(Ton),Productivity(area-FFB),Productivity(area-CPO),Gas Emission (CO2-eq/ton),Biodiesel (Liter)
688902.119696734,1889554604.0348449,50316061.50384334,37857419.288486175,58024646.243778095,76783012.8707916,7080309.797336667,689766.6607244358,1221128.524471031,533003.1004673177,621452.4299570341,838535.119280681,1515455.70703028,48561746.6680218,1.28,3.668056651240244,1.166338992737875,2792831.036504528,610409.5451187217
357223.59853454324,260593687.58592036,97.9587,104.4126,233.0433,109.7802,2553587.4130436443,374875.0705066018,3.0033,57398.51325777266,5.7472,3.2512,4.9024,37366419.20949709,1.28,5.319207566819742,1.6117940452467865,13.62,313106.6279565559
702453.601148347,659091127.7970738,32195240.84223608,26493210.604929388,76507594.5429685,40380097.83402216,10440663.055491509,475957.1424614093,1285045.3553316635,928422.3034747648,1645507.0708490824,943200.6224206628,4.9024,88405614.32322827,248980.0156928508,0.465486479,1.0377967356318143,11651448.066577926,1460310.3251336063
455392.9428622986,2960.8065,97.9587,104.4126,233.0433,109.7802,2339395.8463293435,2.3004,3.0033,6.39,5.7472,3.2512,4.9024,14426837.877218692,1.28,0.465486479,0.2329989246759716,13.62,161373.15720654058
449275.1894658537,2018940959.3622355,108170057.05295467,98682939.21787712,322544340.1451777,132018995.21226016,10938270.094524523,2131452.065400875,2294199.870769444,6718751.281675095,5613500.143185033,3264951.7648878526,4966131.100195357,98760022.74061371,1268170.1006803135,12.183684100340672,1.517133065277762,18547906.33223611,1834761.997706682
942597.2442014964,1957392621.4248257,61002110.57225475,63737262.28053527,137392701.19339544,68290662.37694909,9808614.730221596,1939351.1099290017,1367963.5656927377,3071319.5246425765,1989409.7351464825,2474939.170059848,2356104.376602063,107843938.50476636,1.28,0.465486479,0.9911955715163084,12570454.522335418,1870281.50421656
680193.3179240858,2743605293.390321,60150012.73831441,7281532.672891021,125437269.1422316,59469128.03791416,7949064.503832479,1061371.0979976747,3.0033,5981471.577111675,3050698.329279581,2200131.3387832614,1993703.540720834,43778561.24191485,226422.8371300901,0.465486479,1.1371531808928017,7793424.064959699,1428912.0763857234
413930.661165328,2820002365.391872,79915753.84255773,70000817.22101614,135227723.87413716,28513028.42813199,7123622.944672004,1393917.0078295744,1237704.20541303,3497902.787787064,3608748.531744009,1609403.356247346,1481508.0877943097,19475561.00313527,527565.6949650445,6.0515737229421465,1.73850099547397,3984035.064700342,685050.1757281574
904671.3960396112,2642606205.504494,62674997.34492994,63443103.69212707,297295754.3213266,88182830.37634858,11807526.942235144,1327381.0837331717,2128903.0130532524,1905351.6156848103,2995076.69925691,565679.3364056975,3921745.472285521,94990568.80050848,378436.86675331753,0.9950048888129556,1.2371545236851351,11249598.613484563,1026099.2812417514
161120.37854347215,1004334233.7653968,97.9587,10478809.360991448,126797894.77263103,5539777.5370388925,1998092.1664965823,2.3004,3.0033,6.39,5.7472,3.2512,510122.5702982894,95.808,13595.39866976568,6.071962789829835,1.930273980037568,1347462.9272156172,69615.3993079547
706898.4103070088,3242695147.003415,108335248.67857878,102513018.30381197,275012632.2552751,94543132.7095446,12147742.471612329,2397300.2640886013,3006213.317703173,3726104.97845257,2263106.930858,2007931.696245507,4461446.456083439,92809493.4526906,1005298.6216434104,7.552336481286896,2.189513790742565,13532270.580457816,1577488.9928568876
276686.7035092637,2187730409.184709,22568657.99870144,46227044.83560112,108222030.91744298,56283142.55188071,4688263.400782886,607205.8132929364,820169.759207264,718416.4636654742,5.7472,686825.781282064,2221331.2561873468,17626125.79125821,96623.9042869577,2.1720865937968554,0.299361133044701,13.62,490289.6438219766
246866.8906939695,1732320838.9028535,78784247.7828192,1041220743.1494796,106172815.54445244,70832947.59611279,8189428.714324834,1857248.8247334447,2677980.662974968,6056294.104400756,2086627.476558045,2531901.769987689,1599688.4232949344,59944878.6814852,788559.1045769266,12.181646243693752,2.4249731549274265,9501694.058118531,917572.063756075
2654943.2426010827,10826483320.474504,378043219.5844824,275806196.0109835,612631370.3992974,7201376.5388202965,38683207.896927774,8252714.138362493,9358740.629756738,23290291.1106797,5.7472,11783788.84965401,11456671.160672251,378171396.0818881,3260638.86071957,7.576286912781778,1.7999168090177222,47235614.06881179,1.408
162504.72046894484,301309366.9105849,97.9587,104.4126,233.0433,109.7802,566873.5047228774,2.3004,3.0033,6.39,5.7472,3.2512,4.9024,95.808,1.28,3.144909736766678,1.6310838708849316,13.62,472817.2512695636
508094.0990537078,57457115.56809068,17715180.844109662,31846038.75276067,91631065.1301095,21860254.161189333,7107433.376496213,550798.2012502756,226596.48894266505,1497474.2012205124,5.7472,157412.03926005634,4.9024,69635651.23731194,1.28,2.798475853711075,1.4378361750487132,4747515.162087612,1402080.3572200632
